text_a	label
Tensions rise over the use of performance-enhancing supplements in athletics.	1
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Virtual reality therapies being used to treat PTSD in veterans.	0
Data from smart wearables change the way endurance is measured in cycling.	1
Data from smart wearables change the way endurance is measured in cycling.	1
Marathon runner sets world record with the help of new carbon-plated shoes.	1
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
The World Health Organization launches a new campaign on vaccine misinformation.	0
The Olympic board is evaluating including eSports in the next Summer Games.	1
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Biomechanics research improves recovery strategies for elite sprinters.	1
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Youth football academies focus on mental health and performance psychology.	1
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
The Olympic board is evaluating including eSports in the next Summer Games.	1
Scientists develop wearable sensors to monitor glucose levels without needles.	0
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Gender equity in sports gains momentum with new global sponsorship deals.	1
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Youth football academies focus on mental health and performance psychology.	1
Biomechanics research improves recovery strategies for elite sprinters.	1
Data from smart wearables change the way endurance is measured in cycling.	1
Gender equity in sports gains momentum with new global sponsorship deals.	1
Gender equity in sports gains momentum with new global sponsorship deals.	1
Researchers discover a link between gut microbiota and mental health in teenagers.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Youth football academies focus on mental health and performance psychology.	1
The Olympic board is evaluating including eSports in the next Summer Games.	1
The World Health Organization launches a new campaign on vaccine misinformation.	0
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Virtual reality therapies being used to treat PTSD in veterans.	0
Youth football academies focus on mental health and performance psychology.	1
Biomechanics research improves recovery strategies for elite sprinters.	1
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Gender equity in sports gains momentum with new global sponsorship deals.	1
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Youth football academies focus on mental health and performance psychology.	1
Researchers discover a link between gut microbiota and mental health in teenagers.	0
Biomechanics research improves recovery strategies for elite sprinters.	1
The Olympic board is evaluating including eSports in the next Summer Games.	1
The World Health Organization launches a new campaign on vaccine misinformation.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Virtual reality therapies being used to treat PTSD in veterans.	0
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
The World Health Organization launches a new campaign on vaccine misinformation.	0
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
Data from smart wearables change the way endurance is measured in cycling.	1
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Researchers discover a link between gut microbiota and mental health in teenagers.	0
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Tensions rise over the use of performance-enhancing supplements in athletics.	1
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Tensions rise over the use of performance-enhancing supplements in athletics.	1
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Youth football academies focus on mental health and performance psychology.	1
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
Youth football academies focus on mental health and performance psychology.	1
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Biomechanics research improves recovery strategies for elite sprinters.	1
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Researchers discover a link between gut microbiota and mental health in teenagers.	0
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
The Olympic board is evaluating including eSports in the next Summer Games.	1
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Biomechanics research improves recovery strategies for elite sprinters.	1
Biomechanics research improves recovery strategies for elite sprinters.	1
Virtual reality therapies being used to treat PTSD in veterans.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
The World Health Organization launches a new campaign on vaccine misinformation.	0
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
The Olympic board is evaluating including eSports in the next Summer Games.	1
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Gender equity in sports gains momentum with new global sponsorship deals.	1
Gender equity in sports gains momentum with new global sponsorship deals.	1
Researchers discover a link between gut microbiota and mental health in teenagers.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Tensions rise over the use of performance-enhancing supplements in athletics.	1
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Youth football academies focus on mental health and performance psychology.	1
Gender equity in sports gains momentum with new global sponsorship deals.	1
The Olympic board is evaluating including eSports in the next Summer Games.	1
Data from smart wearables change the way endurance is measured in cycling.	1
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
Youth football academies focus on mental health and performance psychology.	1
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Gender equity in sports gains momentum with new global sponsorship deals.	1
Gender equity in sports gains momentum with new global sponsorship deals.	1
Tensions rise over the use of performance-enhancing supplements in athletics.	1
Researchers discover a link between gut microbiota and mental health in teenagers.	0
The Olympic board is evaluating including eSports in the next Summer Games.	1
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
Biomechanics research improves recovery strategies for elite sprinters.	1
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Biomechanics research improves recovery strategies for elite sprinters.	1
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Gender equity in sports gains momentum with new global sponsorship deals.	1
The World Health Organization launches a new campaign on vaccine misinformation.	0
Youth football academies focus on mental health and performance psychology.	1
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
Researchers discover a link between gut microbiota and mental health in teenagers.	0
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Gender equity in sports gains momentum with new global sponsorship deals.	1
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
Gender equity in sports gains momentum with new global sponsorship deals.	1
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Virtual reality therapies being used to treat PTSD in veterans.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Biomechanics research improves recovery strategies for elite sprinters.	1
Tensions rise over the use of performance-enhancing supplements in athletics.	1
Researchers discover a link between gut microbiota and mental health in teenagers.	0
The World Health Organization launches a new campaign on vaccine misinformation.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Biomechanics research improves recovery strategies for elite sprinters.	1
The Olympic board is evaluating including eSports in the next Summer Games.	1
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Youth football academies focus on mental health and performance psychology.	1
Tensions rise over the use of performance-enhancing supplements in athletics.	1
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Virtual reality therapies being used to treat PTSD in veterans.	0
The World Health Organization launches a new campaign on vaccine misinformation.	0
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Marathon runner sets world record with the help of new carbon-plated shoes.	1
The World Health Organization launches a new campaign on vaccine misinformation.	0
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Researchers discover a link between gut microbiota and mental health in teenagers.	0
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
The World Health Organization launches a new campaign on vaccine misinformation.	0
Biomechanics research improves recovery strategies for elite sprinters.	1
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Tensions rise over the use of performance-enhancing supplements in athletics.	1
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
The Olympic board is evaluating including eSports in the next Summer Games.	1
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Virtual reality therapies being used to treat PTSD in veterans.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Gender equity in sports gains momentum with new global sponsorship deals.	1
Biomechanics research improves recovery strategies for elite sprinters.	1
Gender equity in sports gains momentum with new global sponsorship deals.	1
Scientists develop wearable sensors to monitor glucose levels without needles.	0
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
Researchers discover a link between gut microbiota and mental health in teenagers.	0
The Olympic board is evaluating including eSports in the next Summer Games.	1
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Researchers discover a link between gut microbiota and mental health in teenagers.	0
Data from smart wearables change the way endurance is measured in cycling.	1
Researchers discover a link between gut microbiota and mental health in teenagers.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Data from smart wearables change the way endurance is measured in cycling.	1
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Gender equity in sports gains momentum with new global sponsorship deals.	1
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Data from smart wearables change the way endurance is measured in cycling.	1
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Youth football academies focus on mental health and performance psychology.	1
Data from smart wearables change the way endurance is measured in cycling.	1
Tensions rise over the use of performance-enhancing supplements in athletics.	1
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Marathon runner sets world record with the help of new carbon-plated shoes.	1
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Researchers discover a link between gut microbiota and mental health in teenagers.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Biomechanics research improves recovery strategies for elite sprinters.	1
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Virtual reality therapies being used to treat PTSD in veterans.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
The Olympic board is evaluating including eSports in the next Summer Games.	1
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Tensions rise over the use of performance-enhancing supplements in athletics.	1
Virtual reality therapies being used to treat PTSD in veterans.	0
Biomechanics research improves recovery strategies for elite sprinters.	1
Marathon runner sets world record with the help of new carbon-plated shoes.	1
The World Health Organization launches a new campaign on vaccine misinformation.	0
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
Tensions rise over the use of performance-enhancing supplements in athletics.	1
The Olympic board is evaluating including eSports in the next Summer Games.	1
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
The Olympic board is evaluating including eSports in the next Summer Games.	1
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
Tensions rise over the use of performance-enhancing supplements in athletics.	1
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
The World Health Organization launches a new campaign on vaccine misinformation.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
The Olympic board is evaluating including eSports in the next Summer Games.	1
The World Health Organization launches a new campaign on vaccine misinformation.	0
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
Biomechanics research improves recovery strategies for elite sprinters.	1
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
Researchers discover a link between gut microbiota and mental health in teenagers.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Biomechanics research improves recovery strategies for elite sprinters.	1
Researchers discover a link between gut microbiota and mental health in teenagers.	0
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
Data from smart wearables change the way endurance is measured in cycling.	1
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Researchers discover a link between gut microbiota and mental health in teenagers.	0
The Olympic board is evaluating including eSports in the next Summer Games.	1
The World Health Organization launches a new campaign on vaccine misinformation.	0
Virtual reality therapies being used to treat PTSD in veterans.	0
Data from smart wearables change the way endurance is measured in cycling.	1
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Virtual reality therapies being used to treat PTSD in veterans.	0
Gender equity in sports gains momentum with new global sponsorship deals.	1
Data from smart wearables change the way endurance is measured in cycling.	1
Researchers discover a link between gut microbiota and mental health in teenagers.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Data from smart wearables change the way endurance is measured in cycling.	1
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Youth football academies focus on mental health and performance psychology.	1
Youth football academies focus on mental health and performance psychology.	1
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Youth football academies focus on mental health and performance psychology.	1
Tensions rise over the use of performance-enhancing supplements in athletics.	1
The World Health Organization launches a new campaign on vaccine misinformation.	0
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
Gender equity in sports gains momentum with new global sponsorship deals.	1
The Olympic board is evaluating including eSports in the next Summer Games.	1
Data from smart wearables change the way endurance is measured in cycling.	1
Biomechanics research improves recovery strategies for elite sprinters.	1
The World Health Organization launches a new campaign on vaccine misinformation.	0
Marathon runner sets world record with the help of new carbon-plated shoes.	1
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
Gender equity in sports gains momentum with new global sponsorship deals.	1
Youth football academies focus on mental health and performance psychology.	1
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Gender equity in sports gains momentum with new global sponsorship deals.	1
The World Health Organization launches a new campaign on vaccine misinformation.	0
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Scientists develop wearable sensors to monitor glucose levels without needles.	0
The World Health Organization launches a new campaign on vaccine misinformation.	0
Virtual reality therapies being used to treat PTSD in veterans.	0
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Tensions rise over the use of performance-enhancing supplements in athletics.	1
Tensions rise over the use of performance-enhancing supplements in athletics.	1
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Biomechanics research improves recovery strategies for elite sprinters.	1
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Tensions rise over the use of performance-enhancing supplements in athletics.	1
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
Youth football academies focus on mental health and performance psychology.	1
The Olympic board is evaluating including eSports in the next Summer Games.	1
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
The World Health Organization launches a new campaign on vaccine misinformation.	0
The Olympic board is evaluating including eSports in the next Summer Games.	1
Gender equity in sports gains momentum with new global sponsorship deals.	1
Biomechanics research improves recovery strategies for elite sprinters.	1
Nutritional interventions shown to reduce the risk of chronic inflammation.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
The World Health Organization launches a new campaign on vaccine misinformation.	0
Tensions rise over the use of performance-enhancing supplements in athletics.	1
Biomechanics research improves recovery strategies for elite sprinters.	1
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Health experts warn of long-term cognitive effects linked to post-COVID conditions.	0
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
Researchers discover a link between gut microbiota and mental health in teenagers.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Mediterranean diet associated with a decreased incidence of depression and anxiety.	0
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
The World Health Organization launches a new campaign on vaccine misinformation.	0
New breakthrough in cancer immunotherapy shows promising results in early clinical trials.	0
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Recently introduced concussion guidelines in rugby aims to reduce long-term brain injuries.	1
Marathon runner sets world record with the help of new carbon-plated shoes.	1
VAR controversy sparks debate after disallowed goal in Champions League semi-final.	1
Biomechanics research improves recovery strategies for elite sprinters.	1
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Researchers discover a link between gut microbiota and mental health in teenagers.	0
AI-based diagnostics improve early detection of cardiovascular diseases.	0
Analytics powered by artificial intelligence transform how athletes train in professional basketball.	1
The World Health Organization launches a new campaign on vaccine misinformation.	0
Scientists develop wearable sensors to monitor glucose levels without needles.	0
Researchers discover a link between gut microbiota and mental health in teenagers.	0
Neural interface tech assists individuals with spinal cord injuries regain movement.	0
Researchers discover a link between gut microbiota and mental health in teenagers.	0
